VASP_Sanction_ID,VASP_ID,VASP_Name,Sanctioning_Body,Sanctioning_Body_Name,Sanction_URL,Sanction_Type,Sanction_Start,Sanction_End
3fc30948-cd68-4a0d-bb85-3954bb517bb5,,Nobitex,cc9d5ca7-fadf-4225-898f-2d7a684bd055,Financial Action Task Force (FATF),,byCountry,06/30/1905,07/08/1905
3433d96f-9f6c-4b96-ad0d-1b520720720f,,Nobitex,cc9d5ca7-fadf-4225-898f-2d7a684bd055,Financial Action Task Force (FATF),,byCountry,07/12/1905,
3eaf81eb-c06d-4d80-b024-eaaac1ce9491,,Nobitex,a48c6d58-9174-49b3-a6c1-44c1eb6018c1,European Council,,byCountry,02/01/2007,07/26/2010
fe84a8c7-93d5-4490-8c4a-f6a1f2da3e5e,,Nobitex,a48c6d58-9174-49b3-a6c1-44c1eb6018c1,European Council,,byCountry,04/23/2007,07/26/2010
76da4aac-ade8-430b-a4b4-a961219dfcec,,Nobitex,a48c6d58-9174-49b3-a6c1-44c1eb6018c1,European Council,,byCountry,03/23/2012,04/12/2025
36bd8953-24eb-4efb-9fbb-32eee1aee701,,Nobitex,a48c6d58-9174-49b3-a6c1-44c1eb6018c1,European Council,,byCountry,04/12/2011,04/13/2025
dc9e1e24-771d-47f3-b0af-94ed6f56cb52,,Nobitex,a48c6d58-9174-49b3-a6c1-44c1eb6018c1,European Council,,byCountry,07/26/2010,04/13/2025
7991a022-8526-443d-b123-e396a842eaed,,Nobitex,cdda45e1-235b-4643-ac0f-d7beff283a44,Office of Foreign Assets Control,,byCountry,01/23/1981,
9d70ef64-def6-4655-ab75-8f183a553e64,,Nobitex,cdda45e1-235b-4643-ac0f-d7beff283a44,Office of Foreign Assets Control,,byCountry,02/26/1981,
41596c1d-102d-4410-bad7-59fed1bcd017,,Nobitex,cdda45e1-235b-4643-ac0f-d7beff283a44,Office of Foreign Assets Control,,byCountry,10/30/1987,
4bc16856-a549-4bf8-a9d4-d833e2ddbb24,,Nobitex,cdda45e1-235b-4643-ac0f-d7beff283a44,Office of Foreign Assets Control,,byCountry,03/16/1995,
6a3f8f80-4713-4805-89a0-42f89507c05d,,Nobitex,cdda45e1-235b-4643-ac0f-d7beff283a44,Office of Foreign Assets Control,,byCountry,05/07/1995,
50568aca-6de8-46db-b0ee-a8cc220ed06e,,Nobitex,cdda45e1-235b-4643-ac0f-d7beff283a44,Office of Foreign Assets Control,,byCountry,08/20/1997,
c7feace3-0751-4af2-98e5-fbcab647ad3c,,Nobitex,cdda45e1-235b-4643-ac0f-d7beff283a44,Office of Foreign Assets Control,,byCountry,09/29/2010,
103ca8d3-ce3e-417f-8bab-ff1a0fd7cd28,,Nobitex,cdda45e1-235b-4643-ac0f-d7beff283a44,Office of Foreign Assets Control,,byCountry,02/06/2012,
c7eb752f-e811-44e9-bc4a-54fd6a9b70c2,,Nobitex,cdda45e1-235b-4643-ac0f-d7beff283a44,Office of Foreign Assets Control,,byCountry,10/18/2023,
